"Division","Game ID","Date","Time","Venue","Home Team","Away Team","Game Status"
"Juvenile","HLJUVB01","2019-09-30","19:30","BARRETT WEST","LETRMHAWKS1 (5)","RSWARRIORS1 (3)","Game Results Entered & Game Sheet Received"
"Juvenile","HLJUVB02","2019-09-30","21:00","BARRETT WEST","LETRMHAWKS2 (7)","METCAFJETS1 (4)","Game Results Entered & Game Sheet Received"
"Juvenile","HLJUVB03","2019-10-02","20:00","ARMSTRONG","GCTCOUGARS1 (6)","CUMBERLAND2 (0)","Game Results Entered & Game Sheet Received"
"Juvenile","HLJUVB04","2019-10-02","21:30","ARMSTRONG","ORLEANS1 (4)","CUMBERLAND1 (12)","Game Results Entered & Game Sheet Received"
"Novice C","HLNC04","2019-10-05","13:00","POTVIN 2 HALF","GCTCOUGARS1","LETRMHAWKS2",""
"Novice C","HLNC03","2019-10-05","13:00","POTVIN 1 HALF","BBSTINGERS1","METCAFJETS1",""
"Novice B","HLNB05","2019-10-05","14:00","POTVIN 2 HALF","GCTCOUGARS1","ORLEANS1",""
"Novice B","HLNB03","2019-10-05","14:00","POTVIN 1 HALF","ORLEANS2","METCAFJETS3",""
"Novice C","HLNC02","2019-10-05","14:00","BARRETT EAST 2 HALF","LETRMHAWKS3","ORLEANS1",""
"Novice C","HLNC01","2019-10-05","14:00","BARRETT EAST 1 HALF","LETRMHAWKS1","METCAFJETS2",""
"Novice A","HLNA03","2019-10-05","15:00","POTVIN 2 HALF","BBSTINGERS1","ORLEANS1",""
"Novice B","HLNB04","2019-10-05","15:00","POTVIN 1 HALF","ORLEANS3","LETRMHAWKS5",""
"Novice B","HLNB02","2019-10-05","15:00","BARRETT EAST 2 HALF","LETRMHAWKS3","LETRMHAWKS1",""
"Novice B","HLNB01","2019-10-05","15:00","BARRETT EAST 1 HALF","LETRMHAWKS4","LETRMHAWKS2",""
"Novice A","HLNA02","2019-10-05","16:00","BARRETT EAST 2 HALF","LETRMHAWKS2","RSWARRIORS1",""
"Novice A","HLNA01","2019-10-05","16:00","BARRETT EAST 1 HALF","LETRMHAWKS1","GCTCOUGARS1",""
"Atom C","HLATC02","2019-10-05","16:00","POTVIN","ORLEANS1 (0)","LETRMHAWKS2 (2)","Game Results Entered & Game Sheet Received"
"PeeWee A","HLPWA02","2019-10-05","16:00","SENECAL","GCTCOUGARS1 (0)","BBSTINGERS1 (5)","Game Results Entered & Game Sheet Received"
"Atom C","HLATC03","2019-10-05","17:00","POTVIN","GCTCOUGARS1 (2)","RSWARRIORS1 (3)","Game Results Entered & Game Sheet Received"
"Atom C","HLATC01","2019-10-05","17:00","BARRETT EAST","LETRMHAWKS1 (2)","METCAFJETS1 (7)","Game Results Entered & Game Sheet Received"
"Atom A","HLATA01","2019-10-05","18:00","BARRETT EAST","METCAFJETS1 (0)","LETRMHAWKS1 (7)","Game Results Entered & Game Sheet Received"
"PeeWee C","HLPC02","2019-10-05","18:00","BLACKBURN","BBSTINGERS1 (1)","RSWARRIORS1 (3)","Game Results Entered & Game Sheet Received"
"PeeWee C","HLPC01","2019-10-05","19:00","BARRETT EAST","METCAFJETS1 (5)","LETRMHAWKS2 (3)","Game Results Entered & Game Sheet Received"
"PeeWee A","HLPWA01","2019-10-05","19:30","BARRETT WEST","LETRMHAWKS1 (5)","METCAFJETS1 (2)","Game Results Entered & Game Sheet Received"
"Bantam A","HLBTA01","2019-10-05","20:30","BARRETT WEST","LETRMHAWKS1 (5)","LETRMHAWKS3 (3)","Game Results Entered & Game Sheet Received"
"Bantam A","HLBTA02","2019-10-05","21:00","BLACKBURN","BBSTINGERS1 (3)","METCAFJETS1 (1)","Game Results Entered & Game Sheet Received"
"Novice B","HLNB11","2019-10-06","10:00","POTVIN 2 HALF","ORLEANS1","RSWARRIORS1",""
"Novice B","HLNB09","2019-10-06","10:00","BLACKBURN 2 HALF","BBSTINGERS1","METCAFJETS5",""
"Novice C","HLNC08","2019-10-06","10:00","POTVIN 1 HALF","ORLEANS1","METCAFJETS3",""
"Novice C","HLNC07","2019-10-06","10:00","BLACKBURN 1 HALF","BBSTINGERS1","RSWARRIORS1",""
"Novice A","HLNA07","2019-10-06","11:00","POTVIN 2 HALF","ORLEANS1","METCAFJETS2",""
"Novice A","HLNA06","2019-10-06","11:00","POTVIN 1 HALF","GCTCOUGARS1","LETRMHAWKS2",""
"Novice A","HLNA05","2019-10-06","11:00","BLACKBURN 1 HALF","BBSTINGERS1","LETRMHAWKS1",""
"Novice B","HLNB10","2019-10-06","11:00","BLACKBURN 2 HALF","BBSTINGERS2","GCTCOUGARS1",""
"Atom C","HLATC04","2019-10-06","12:00","BLACKBURN","BBSTINGERS1 (7)","RSWARRIORS1 (1)","Game Results Entered & Game Sheet Received"
"Bantam A","HLBTA06","2019-10-06","12:00","SENECAL","LETRMHAWKS1 (2)","BBSTINGERS1 (1)","Game Results Entered & Game Sheet Received"
"Atom A","HLATA02","2019-10-06","14:00","BLACKBURN","ORLEANS1 (3)","BBSTINGERS1 (1)","Game Results Entered & Game Sheet Received"
"Novice C","HLNC06","2019-10-06","15:00","BARRETT EAST 2 HALF","LETRMHAWKS3","GCTCOUGARS1",""
"Novice C","HLNC05","2019-10-06","15:00","BARRETT EAST 1 HALF","LETRMHAWKS2","METCAFJETS1",""
"Novice B","HLNB07","2019-10-06","16:00","BARRETT EAST 2 HALF","LETRMHAWKS2","METCAFJETS4",""
"Novice B","HLNB06","2019-10-06","16:00","BARRETT EAST 1 HALF","LETRMHAWKS5","METCAFJETS2",""
"Novice A","HLNA04","2019-10-06","17:00","BARRETT EAST 1 HALF","METCAFJETS1","ORLEANS2",""
"Novice B","HLNB08","2019-10-06","17:00","BARRETT EAST 2 HALF","LETRMHAWKS1","LETRMHAWKS4",""
"PeeWee C","HLPC03","2019-10-06","17:00","BLACKBURN","BBSTINGERS1 (0)","RSWARRIORS1 (4)","Game Results Entered & Game Sheet Received"
