"Division","Game ID","Date","Time","Venue","Home Team","Away Team","Game Status"
"U9 - C","HLU9C003","2021-10-02","08:00","POTVIN HALF ICE 2","GLOUCESTER CENTRE COUGARS U9C1","LEITRIM HAWKS U9 C1",""
"U9 - C","HLU9C002","2021-10-02","08:00","POTVIN HALF ICE 1","ORLEANS RUSH U9 C1","BLACKBURN STINGERS 9C1",""
"U9 - B","HLU9B004","2021-10-02","09:00","POTVIN HALF ICE 2","GLOUCESTER CENTRE COUGARS U9 B1","METCALFE JETS U9 B2",""
"U9 - B","HLU9B003","2021-10-02","09:00","POTVIN HALF ICE 1","BLACKBURN STINGERS U9 B1","RUSSELL WARRIORS U9 B1",""
"U13 - B","HLU13B01","2021-10-02","10:00","POTVIN","GLOUCESTER CENTRE COUGARS U13B2 (5)","LEITRIM HAWKS U13 B1 (1)","Game Results Entered & Game Sheet Received"
"U15 - B1","HLU15B101","2021-10-02","11:00","POTVIN","GLOUCESTER CENTRE COUGARS U15B1 (3)","BLACKBURN STINGERS U15 B1 (2)","Game Results Entered & Game Sheet Received"
"U9 - B","HLU9B001","2021-10-02","12:30","BARRETT WEST HALF ICE 1","LEITRIM HAWKS U9 B3","METCALFE JETS U9 B3",""
"U9 - C","HLU9C001","2021-10-02","12:30","BARRETT WEST HALF ICE 2","LEITRIM HAWKS U9 C2","METCALFE JETS U9 C2",""
"U9 - A","HLU9A001","2021-10-02","13:30","BARRETT WEST HALF ICE 2","LEITRIM HAWKS U9 A1","RUSSELL WARRIORS U9 A1",""
"U9 - B","HLU9B002","2021-10-02","13:30","BARRETT WEST HALF ICE 1","METCALFE JETS U9 B1","LEITRIM HAWKS U9 B4",""
"U13 - C","HLU13C01","2021-10-02","14:30","BARRETT WEST","LEITRIM HAWKS U13 C1 (1)","BLACKBURN STINGERS U13 C1 (9)","Game Results Entered & Game Sheet Received"
"U13 - B","HLU13B02","2021-10-02","15:30","BARRETT WEST","LEITRIM HAWKS U13 B3 (1)","RUSSELL WARRIORS U13 B1 (5)","Game Results Entered & Game Sheet Received"
"U13 - C","HLU13C02","2021-10-02","16:00","SENECAL","ORLEANS RUSH U13 C1 (7)","METCALFE JETS U13 C1 (1)","Game Results Entered & Game Sheet Received"
"U13 - B","HLU13B03","2021-10-02","16:30","BARRETT WEST","LEITRIM HAWKS U13 B2 (0)","METCALFE JETS U13 B1 (10)","Game Results Entered & Game Sheet Received"
"U13 - B","HLU13B04","2021-10-02","17:00","SENECAL","ORLEANS RUSH U13 B1 (2)","METCALFE JETS U13 B2 (4)","Game Results Entered & Game Sheet Received"
"U13 - A","HLU13A01","2021-10-02","17:30","BARRETT WEST","LEITRIM HAWKS U13 A2 (6)","BLACKBURN STINGERS U13 A1 (4)","Game Results Entered & Game Sheet Received"
